"PassengerId","Survived","Ticket","Fare","Cabin","Embarked"
1,0,"A/5 21171",7.25,,"S"
2,1,"PC 17599",71.2833,"C85","C"
3,1,"STON/O2. 3101282",7.925,,"S"
4,1,"113803",53.1,"C123","S"
5,0,"373450",8.05,,"S"
6,0,"330877",8.4583,,"Q"
7,0,"17463",51.8625,"E46","S"
8,0,"349909",21.075,,"S"
9,1,"347742",11.1333,,"S"
10,1,"237736",30.0708,,"C"
11,1,"PP 9549",16.7,"G6","S"
12,1,"113783",26.55,"C103","S"
13,0,"A/5. 2151",8.05,,"S"
14,0,"347082",31.275,,"S"
15,0,"350406",7.8542,,"S"
16,1,"248706",16.0,,"S"
17,0,"382652",29.125,,"Q"
18,1,"244373",13.0,,"S"
19,0,"345763",18.0,,"S"
20,1,"2649",7.225,,"C"
21,0,"239865",26.0,,"S"
22,1,"248698",13.0,"D56","S"
23,1,"330923",8.0292,,"Q"
24,1,"113788",35.5,"A6","S"
25,0,"349909",21.075,,"S"
26,1,"347077",31.3875,,"S"
27,0,"2631",7.225,,"C"
28,0,"19950",263.0,"C23 C25 C27","S"
29,1,"330959",7.8792,,"Q"
30,0,"349216",7.8958,,"S"
31,0,"PC 17601",27.7208,,"C"
32,1,"PC 17569",146.5208,"B78","C"
33,1,"335677",7.75,,"Q"
34,0,"C.A. 24579",10.5,,"S"
35,0,"PC 17604",82.1708,,"C"
36,0,"113789",52.0,,"S"
37,1,"2677",7.2292,,"C"
38,0,"A./5. 2152",8.05,,"S"
40,1,"2651",11.2417,,"C"
41,0,"7546",9.475,,"S"
42,0,"11668",21.0,,"S"
43,0,"349253",7.8958,,"C"
44,1,"SC/Paris 2123",41.5792,,"C"
45,1,"330958",7.8792,,"Q"
46,0,"S.C./A.4. 23567",8.05,,"S"
48,1,"14311",7.75,,"Q"
49,0,"2662",21.6792,,"C"
50,0,"349237",17.8,,"S"
51,0,"3101295",39.6875,,"S"
52,0,"A/4. 39886",7.8,,"S"
53,1,"PC 17572",76.7292,"D33","C"
54,1,"2926",26.0,,"S"
55,0,"113509",61.9792,"B30","C"
56,1,"19947",35.5,"C52","S"
57,1,"C.A. 31026",10.5,,"S"
58,0,"2697",7.2292,,"C"
59,1,"C.A. 34651",27.75,,"S"
60,0,"CA 2144",46.9,,"S"
61,0,"2669",7.2292,,"C"
62,1,"113572",80.0,"B28",
63,0,"36973",83.475,"C83","S"
64,0,"347088",27.9,,"S"
65,0,"PC 17605",27.7208,,"C"
66,1,"2661",15.2458,,"C"
67,1,"C.A. 29395",10.5,"F33","S"
68,0,"S.P. 3464",8.1583,,"S"
69,1,"3101281",7.925,,"S"
70,0,"315151",8.6625,,"S"
71,0,"C.A. 33111",10.5,,"S"
72,0,"CA 2144",46.9,,"S"
73,0,"S.O.C. 14879",73.5,,"S"
74,0,"2680",14.4542,,"C"
75,1,"1601",56.4958,,"S"
76,0,"348123",7.65,"F G73","S"
77,0,"349208",7.8958,,"S"
78,0,"374746",8.05,,"S"
79,1,"248738",29.0,,"S"
80,1,"364516",12.475,,"S"
81,0,"345767",9.0,,"S"
82,1,"345779",9.5,,"S"
83,1,"330932",7.7875,,"Q"
84,0,"113059",47.1,,"S"
85,1,"SO/C 14885",10.5,,"S"
86,1,"3101278",15.85,,"S"
87,0,"W./C. 6608",34.375,,"S"
88,0,"SOTON/OQ 392086",8.05,,"S"
89,1,"19950",263.0,"C23 C25 C27","S"
90,0,"343275",8.05,,"S"
91,0,"343276",8.05,,"S"
92,0,"347466",7.8542,,"S"
93,0,"W.E.P. 5734",61.175,"E31","S"
94,0,"C.A. 2315",20.575,,"S"
95,0,"364500",7.25,,"S"
96,0,"374910",8.05,,"S"
97,0,"PC 17754",34.6542,"A5","C"
98,1,"PC 17759",63.3583,"D10 D12","C"
99,1,"231919",23.0,,"S"
100,0,"244367",26.0,,"S"
101,0,"349245",7.8958,,"S"
102,0,"349215",7.8958,,"S"
103,0,"35281",77.2875,"D26","S"
104,0,"7540",8.6542,,"S"
105,0,"3101276",7.925,,"S"
106,0,"349207",7.8958,,"S"
107,1,"343120",7.65,,"S"
108,1,"312991",7.775,,"S"
109,0,"349249",7.8958,,"S"
110,1,"371110",24.15,,"Q"
111,0,"110465",52.0,"C110","S"
112,0,"2665",14.4542,,"C"
114,0,"4136",9.825,,"S"
115,0,"2627",14.4583,,"C"
117,0,"370369",7.75,,"Q"
119,0,"PC 17558",247.5208,"B58 B60","C"
120,0,"347082",31.275,,"S"
121,0,"S.O.C. 14879",73.5,,"S"
122,0,"A4. 54510",8.05,,"S"
123,0,"237736",30.0708,,"C"
124,1,"27267",13.0,"E101","S"
125,0,"35281",77.2875,"D26","S"
126,1,"2651",11.2417,,"C"
127,0,"370372",7.75,,"Q"
128,1,"C 17369",7.1417,,"S"
129,1,"2668",22.3583,"F E69","C"
131,0,"349241",7.8958,,"C"
132,0,"SOTON/O.Q. 3101307",7.05,,"S"
133,0,"A/5. 3337",14.5,,"S"
134,1,"228414",26.0,,"S"
135,0,"C.A. 29178",13.0,,"S"
136,0,"SC/PARIS 2133",15.0458,,"C"
137,1,"11752",26.2833,"D47","S"
138,0,"113803",53.1,"C123","S"
139,0,"7534",9.2167,,"S"
140,0,"PC 17593",79.2,"B86","C"
141,0,"2678",15.2458,,"C"
142,1,"347081",7.75,,"S"
143,1,"STON/O2. 3101279",15.85,,"S"
144,0,"365222",6.75,,"Q"
145,0,"231945",11.5,,"S"
146,0,"C.A. 33112",36.75,,"S"
147,1,"350043",7.7958,,"S"
148,0,"W./C. 6608",34.375,,"S"
149,0,"230080",26.0,"F2","S"
150,0,"244310",13.0,,"S"
